contactID,bodyID,bodytitle,bodyposition,category
2050,95,Subsidiary Bodies Reference Group Gender and Humanitarian Action,Co-Chair,
2051,95,Subsidiary Bodies Reference Group Gender and Humanitarian Action,Co-Chair,
2090,95,Subsidiary Bodies Reference Group Gender and Humanitarian Action,Co-Chair,
2091,95,Subsidiary Bodies Reference Group Gender and Humanitarian Action,Co-Chair,
2092,94,Subsidiary Bodies Task Team Protection in Humanitarian Crises,Co-Chair,
1368,94,Subsidiary Bodies Task Team Protection in Humanitarian Crises,Co-Chair,
836,57,Other ECHA,Contact,
775,57,Other ECHA,Member,
788,57,Other ECHA,Member,
789,57,Other ECHA,Member,
15,57,Other ECHA,Member,
79,57,Other ECHA,Secondary Member,
85,57,Other ECHA,Contact,
206,57,Other ECHA,Contact,
214,57,Other ECHA,Contact,
653,57,Other ECHA,Contact,
470,57,Other ECHA,Member,
484,57,Other ECHA,Contact,
486,56,Other Senior Managers,Member,
635,56,Other Senior Managers,Member,
630,56,Other Senior Managers,Member,
679,56,Other Senior Managers,Member,
673,56,Other Senior Managers,Member,
674,56,Other Senior Managers,Member,
209,56,Other Senior Managers,Contact,
79,56,Other Senior Managers,Member,
15,53,Other Heads of Agencies,Member,UN
343,53,Other Heads of Agencies,Member,Donor
379,53,Other Heads of Agencies,Member,Non-UN
381,53,Other Heads of Agencies,Member,Non-UN
383,53,Other Heads of Agencies,Member,Non-UN
386,53,Other Heads of Agencies,Member,UN
388,53,Other Heads of Agencies,Member,UN
390,53,Other Heads of Agencies,Member,UN
393,53,Other Heads of Agencies,Member,UN
395,53,Other Heads of Agencies,Member,UN
663,53,Other Heads of Agencies,Member,UN
470,53,Other Heads of Agencies,Member,UN
463,53,Other Heads of Agencies,Member,Non-UN
464,53,Other Heads of Agencies,Member,Non-UN
454,53,Other Heads of Agencies,Member,Non-UN
459,53,Other Heads of Agencies,Member,UN
400,53,Other Heads of Agencies,Member,Non-UN
401,53,Other Heads of Agencies,Member,Non-UN
402,53,Other Heads of Agencies,Member,Non-UN
997,53,Other Heads of Agencies,Member,Non-UN
