contactID,orgaddrID,orgName,orgbuilding,orgstreet,orgstateprovince,orgcity,orgpostcode,orgpostcode2,orgcountry,orgphone,orgfax
11,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
64,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
143,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
364,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
564,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
588,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
2009,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
2020,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
2052,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
2054,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
1850,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
1882,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
1886,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
1946,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
1954,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
1981,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
1552,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
1556,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
1586,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
1794,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
1799,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
1800,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
956,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
1013,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
1193,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
1376,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
1540,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
1547,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
657,1,FAO,Via delle Terme di Caracalla,NULL,,Rome,100,NULL,Italy,NULL,NULL
