agendaID,calmeetID,agorder,agitem,agsubitem,agdescription,presenterID,agpublishlevel
2965,1982,4,Background ,NULL,"Most humanitarian programmes and operations intersect in a variety of ways with environment, from shelter and protection to logistics and early recovery. UNEP works with humanitarian actors to build capacity and awareness to improve the way in which operations are carried out. More environmentally sound operations will ensure that both human welfare and environment are protected and preserved in response to a disaster or conflict. UNEP leads trainings, serves as the liaison with clusters and partner organizations regarding environmental issues, provides in-country expertise and facilitates policy and advocacy efforts at the headquarter level.",0,0
2966,1982,5,3. AOB,NULL,NULL,0,0
2967,1934,1,IASC Reforms 2011-2012 Statement of Purpuse,NULL,NULL,0,0
2968,1932,2,Agenda,NULL,NULL,0,0
2969,1932,3,Making the IASC Working Group and Subsidiary Bodies More Effective ,NULL,NULL,0,0
2970,1932,7,Inter-Agency Real Time Evaluations,NULL,NULL,0,0
2971,1932,9,Review of Progress in Integrating Responsibility for Collective Results,NULL,NULL,0,0
2972,1932,6,Climate Change,NULL,NULL,0,0
2973,1932,8,Humanitarian Space ,NULL,NULL,0,0
2974,1932,5,Security ,NULL,NULL,0,0
2975,1932,4,HIV,NULL,NULL,0,0
2976,1932,11,For information only,NULL,NULL,0,0
2977,1976,1,Summary Records,NULL,NULL,0,0
2978,1986,1,1. Reducing disaster risk and improving response: law as critical tool ,NULL,"Elyse Mosquini, Senior Advocacy Officer, International Disaster Response Laws, Rules and Principles (IDRL) Programme, IFRC, will provide a briefing on the disaster laws topics to be considered at a conference of 194 states, 186 Red Cross and Red Crescent national societies, the IFRC and ICRC in November. ",0,0
2979,1986,2,Background,NULL,"Natural disasters are among the largest threats to human security and development worldwide. Over the last ten years, they have affected more than 2.4 billion people and have cost over USD 910 billion in damages. Their numbers and impact have been increasing with patterns of hydro-meteorological events in particular shifting dramatically. Legal frameworks are an important tool to meet these challenges in respect to both risk reduction and response. When well-crafted, laws can focus and strengthen governmental efforts to prevent and respond to disasters, and they can empower communities and civil society organizations to contribute effectively to these aims. But when not, legal and regulatory regimes can block and frustrate progress in disaster mitigation.",0,0
2980,1986,3,2. AOB,NULL,NULL,0,0
2981,1987,3,Background documents,NULL,NULL,0,0
2982,1987,1,Agenda,NULL,NULL,0,0
2983,1962,1,Summary Notes,NULL,NULL,0,0
2984,1962,2,Background Papers,NULL,NULL,0,0
2985,1962,0,Agenda,NULL,NULL,0,0
2986,1915,1,Summary Notes,NULL,NULL,0,0
2987,1888,1,Summary Record,NULL,NULL,0,0
2988,1888,2,Background Papers,NULL,NULL,0,0
2989,1990,1,Background Paper,NULL,NULL,0,0
2990,1932,2,Logistics,NULL,NULL,0,0
2991,1992,2,Background Papers,NULL,NULL,0,0
2992,1993,1,Agenda,NULL,NULL,0,0
2993,1920,0,Summary Record,NULL,NULL,0,0
2994,1994,1,1. The Growing Food Security Crisis in the Horn Of Africa,NULL,"Ms.Cristina Amaral, FAO's Chief of Emergency Operations Africa Desk and Mr. Sory Ouane, WFP's Deputy Regional Director for East and Central Africa will present the current humanitarian crisis in the Horn of Africa",0,0
