agendaID,calmeetID,agorder,agitem,agsubitem,agdescription,presenterID,agpublishlevel
3403,2229,1,1. Helping the helpers - the IHP (International Humanitarian Partnership),,"Mr. Terje Skavdal and Mr. Albrecht Beck, OCHA, IHP Secretariat, will brief on the IHP - an informal network of European humanitarian and civil protection agencies providing technical and operational support to humanitarian actors. They will describe the services IHP provides in emergencies, as well as trainings and capacity building activities. An update on preparations for this year's 'TRIPLEX' full scale humanitarian simulation exercise will also be included.",0,0
3404,2229,2,Background,,"IHP was created in 1995 as an informal cooperation network to provide operational and logistical support to UN and other humanitarian agencies, primarily in sudden onset disasters. Over nearly 20 years of operations, IHP has become an indispensable tool for humanitarian coordination and response. It has been active in nearly every major disaster of that period, including the Indian Ocean tsunami, the Haiti earthquake and Pakistan floods. Today IHP support modules include the provision of staff and equipment to establish On-Site Operations Coordination Centres (OSOCCs) and base camps with accommodation and facilities for humanitarian staff, as well as support for ICT, information management, security system compliance and vehicle support, but the network is also open for requests outside of the predefined services.",0,0
3405,2229,3,2. AOB,,,0,0
3398,2228,1,10h00 äóñ Opening Remarks,,,0,0
3399,2228,2,10h15 äóñ Introductory presentations by panel members,,"Mr. Neil Buhne, Director UNDP Bureau of Crisis Prevention and Recovery, Geneva Panel members are: Mr. Thomas Gurtner, Resident Coordinator/Humanitarian Coordinator, Chad Mr. Francois Guenewald, Executive Director Groupe URD Mr. Gabriel Pictet, Unit Manager, Community Health and Innovation, IFRC",0,0
3400,2228,3,"11h00 äóñ Discussion, including questions from the audience",,,0,0
3401,2228,4,12h00 äóñ Closing remarks,,,0,0
3402,2228,0,Background,,Resilience' is the new buzz word - but what does it actually mean and how can it be conceptualised? This IASC special event is an opportunity to gain a better understanding of how resilience can support affected people and what the role of humanitarians could be. The panellists will present different perspectives on resilience and what it could mean in practice. The discussion will focus on how resilience relates to different approaches such as Preparedness and Disaster Risk Reduction and which role humanitarian organisations can play. The presentations and discussions will illustrate how a resilience approach could look like and what the different organisational and individual responsibilities in this approach would be.,0,0
3396,2227,0,Note from the meeting,,,0,0
3420,2216,1,Summary Record,,,0,0
3394,2215,1,Notes of the meeting,,,0,0
3395,2215,0,Agenda,,,0,0
3392,2214,1,Background Documents,,,0,0
3418,2211,1,Agenda,,,0,0
3419,2211,2,Logistics,,,0,0
3421,2211,3,Transformative Agenda (TA) äóñ Taking Stock,,,0,0
3422,2211,4,Transformative Agenda äóñ Application of the TA in slow onset emergencies,,,0,0
3423,2211,5,Rebooting the IASC Working Group,,,0,0
