orgID,organization,orgnamelong,membertype,securitylevel,link,logolarge,logosmall
1,FAO,Food and Agriculture Organization,Full Member,2,http://www.fao.org,images/logo/Other/FAO_45px.jpg,images/logo/Other/FAO_30px.gif
2,IASC Secretariat,Inter-Agency Standing Committee Secretariat,NULL,3,http://www.humanitarianinfo.org/iasc,NULL,NULL
3,ICRC,International Committee of the Red Cross,Standing Invitee,2,http://www.icrc.org,images/logo/Other/ICRC_45px.jpg,images/logo/Other/ICRC_35px.gif
4,ICVA,International Council of Voluntary Agencies,Standing Invitee,2,http://www.icva.ch,images/logo/Other/ICVAnew_30px.jpg,images/logo/Other/ICVAnew_20px.jpg
5,IFRC,International Federation of Red Cross and Red Crescent Societies,Standing Invitee,2,http://www.ifrc.org,images/logo/Other/IFRC_40px.jpg,images/logo/Other/IFRC_25px.gif
6,InterAction,InterAction,Standing Invitee,2,http://www.interaction.org,images/logo/Other/InterAction_new_45px.jpg,images/logo/Other/InterAction_new_30px.jpg
7,IOM,International Organization for Migration,Standing Invitee,2,http://www.iom.int,images/logo/Other/IOM_45px.jpg,images/logo/Other/IOM_25px.jpg
8,OCHA,United Nations Office for Coordination of Humanitarian Affairs,Full Member,2,http://www.unocha.org/,images/logo/Other/UN_blue_45px.jpg,images/logo/Other/UN_blue_30px.gif
10,OHCHR,Office of the High Commissioner for Human Rights,Standing Invitee,2,http://www.ohchr.org,images/logo/Other/OHCHR_45px.jpg,images/logo/Other/OHCHR_40px.gif
11,SCHR,Steering Committee for Humanitarian Response,Standing Invitee,2,http://schr.info/,images/logo/Other/SCHR_45px.jpg,images/logo/Other/SCHR_30px.jpg
12,UNDP,United Nations Development Programme,Full Member,2,http://www.undp.org,images/logo/Other/UNDP_45px.jpg,images/logo/Other/UNDP_40px.gif
13,UNFPA,United Nations Population Fund,Full Member,2,http://www.unfpa.org,images/logo/Other/UNFPA_35px.jpg,images/logo/Other/UNFPA_20px.jpg
14,UNHCR,United Nations High Comissioner for Refugees,Full Member,2,http://www.unhcr.org,images/logo/Other/UNHCR_45px.jpg,images/logo/Other/UNHCR_30px.gif
15,UNICEF,United Nations Children's Fund,Full Member,2,http://www.unicef.org,images/logo/Other/UNICEF_45px.jpg,images/logo/Other/UNICEF_30px.gif
16,WFP,World Food Programme,Full Member,2,http://www.wfp.org,images/logo/Other/WFP_45px.jpg,images/logo/Other/WFP_30px.gif
17,WHO,World Health Organization,Full Member,2,http://www.who.int,images/logo/Other/WHO_45px.jpg,images/logo/Other/WHO_30px.gif
18,World Bank,World Bank,Standing Invitee,2,http://www.worldbank.org,images/logo/Other/World-Bank_45px.jpg,images/logo/Other/World-Bank_25px.jpg
20,Other,Other,NULL,2,NULL,NULL,NULL
22,RSG on Human Rights of IDPs,Office of the Special Representative of the Secretary General on the Human Rights of Internally Displaced Persons,NULL,2,http://www2.ohchr.org/english/issues/idp/index.htm,images/logo/Other/UN_blue_45px.jpg,images/logo/Other/UN_blue_30px.gif
23,UNAIDS,Joint United Nations Programme on HIV/AIDS,NULL,2,http://www.unaids.org,NULL,NULL
